Time,Psi_deg,Psi_err_deg,CTE_m,Surge_u,Sway_v,Yaw_Rate_r_deg,Yaw_Torque_TN,Roll_phi_deg,Roll_Rate_p_deg,Mode,Obs_MinDist_m
28.45000000000027,-14.443425069806914,-5.085340316910784,0.732194198577606,0.7289945456653837,0.19472693974364688,-9.617223933813346,36.10298451516587,-29.999999999999996,-53.52596492335426,LMPC_AVOID,1.4730775549992647
28.50000000000027,-14.859863081835224,-4.984673610530295,0.7268988440511666,0.7332531379893898,0.19282522687672715,-9.441321497079956,35.013535687283735,-29.999999999999996,-35.3256425433232,LMPC_AVOID,1.4388396344117527
28.55000000000027,-15.268684294923577,-4.885189472242053,0.7213337476782913,0.7375063552482669,0.19096007454872987,-9.27084369603909,34.0317364133536,-29.999999999999996,-17.131542870425967,LMPC_AVOID,1.404557106205363
28.60000000000027,-15.670123602687806,-4.786380834179743,0.7161300681324194,0.7417518113648326,0.1891309349616027,-9.105415929587972,33.16702068116683,-29.999999999999996,1.056735402464528,LMPC_AVOID,1.3702354377128707
28.650000000000272,-16.064399678040147,-4.689503902751219,0.7099035354260302,0.7459873216386282,0.18733716231472972,-8.944638883986661,32.358855865266804,-29.947163229876768,19.239547126316058,LMPC_AVOID,1.335880655669355
28.700000000000273,-16.451919951578247,-4.597913739218932,0.7034241274951769,0.7502109005406911,0.18557800498206212,-8.788288930773696,31.46910572598665,-28.98518587356097,37.38618367085748,LMPC_AVOID,1.3014993045468595
28.750000000000274,-16.83629555391566,-4.4924072634843775,0.6974848508430518,0.7584753052966291,0.18385268454669246,-8.636539989925431,31.25709454553092,-27.115876690018094,54.96041744804313,LMPC_AVOID,1.2670976436390187
28.800000000000274,-17.220658953217484,-4.411878205165523,0.690618201680942,0.7644444676089122,0.18218085305999895,-8.489106942679552,30.18685320830062,-24.367855817615936,71.28778082016697,LMPC_AVOID,1.2324818830932873
28.850000000000275,-17.607301813782637,-4.328158024974153,0.6836610533619827,0.7685219061147481,0.18054900539981028,-8.347385697967761,29.40362233986474,-20.80346677660759,85.80904778470156,LMPC_AVOID,1.1977776603798553
28.900000000000276,-17.997460369392783,-4.2439034338782715,0.6766491853327861,0.7725818906750153,0.17894746655737545,-8.209706529855756,28.756459591065294,-16.513014387372507,97.9720841777903,LMPC_AVOID,1.1630929478609664
28.950000000000276,-18.39101530977938,-4.1606262461790315,0.6695623943654446,0.7766229967649975,0.17737568107235144,-8.075629004271985,28.173671325266582,-11.614410178482995,107.25301119196857,LMPC_AVOID,1.128443791157788
29.000000000000277,-18.78652919206463,-4.075711611290537,0.662391496636548,0.7806439696220212,0.17583295524346593,-7.944919869609531,27.75147173947991,-6.251759618884566,113.18698634873103,LMPC_AVOID,1.0938471624876505
29.050000000000278,-19.181412761368446,-3.9906375780694834,0.6550653497682369,0.7846436698787536,0.17431855375647684,-7.817071671831098,27.417651373865425,-0.5924103014480143,115.45445583524251,LMPC_AVOID,1.0593199259270039
29.10000000000028,-19.572245452952536,-3.8513206381154164,0.6474975926618127,0.7886211316259905,0.1728315752323479,-7.691785535774678,29.289138543783764,5.180312490314112,113.8921900486904,LMPC_AVOID,1.02487791142535
29.15000000000028,-19.955263868015205,-3.7756068423046663,0.6402758505463768,0.7946848539444363,0.1713710507990807,-7.562699395608434,28.558802133128864,10.874921992748632,108.41985244429988,LMPC_AVOID,0.9905353615265993
29.20000000000028,-20.326608057279987,-3.699857197535339,0.6319708894191435,0.7985814693757637,0.1699424011063352,-7.438010314488195,27.954645681259763,16.29591461496363,99.12419621194715,LMPC_AVOID,0.9561997200654919
29.25000000000028,-20.683567582110836,-3.622398272303998,0.6231289798976636,0.8024550230871844,0.168535797070898,-7.3165069455934475,27.508602253860346,21.252124425560986,86.25565628152232,LMPC_AVOID,0.9219901956043413
29.30000000000028,-21.02451476815922,-3.5458882448657736,0.6138073147910706,0.806304645489169,0.16715087369618897,-7.197694887096578,27.102454289314892,25.564907239637105,70.20497186822458,LMPC_AVOID,0.8879195435724734
29.350000000000282,-21.349165717442887,-3.4693169654207137,0.6040120607143523,0.8101296170473188,0.16578708046448806,-7.081419821981007,26.771562537029183,29.07515583304833,51.469790231089306,LMPC_AVOID,0.8540033423905102
29.400000000000283,-21.658617752243398,-3.3915011228596867,0.5937797490312138,0.8139292890596344,0.16444384509713952,-6.967427197013078,26.555319630903142,29.999999999999996,30.618556783917946,LMPC_AVOID,0.8202623445771176
29.450000000000284,-21.960316199824998,-3.293895146165373,0.583261336240464,0.8177031024888055,0.16312052593268664,-6.855350707313055,27.172297384296797,29.999999999999996,9.219108376235802,LMPC_AVOID,0.7867409525499118
29.500000000000284,-22.257161593044227,-3.22074294379338,0.5725309355839767,0.8243104576829909,0.16181635983964993,-6.742766610178787,26.816717712169634,29.999999999999996,-12.183246344449836,LMPC_AVOID,0.7534820176504249
